/home/abaddon/abaddon7.py:186: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  self.client = mqtt.Client(client_id=self.node_id)
[*] Global bypass patch applied to 'requests' module.
[2025-10-19 21:27:28] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:31] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:33] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:35] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:38] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:40] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:42] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:44] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:46] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:48] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:51] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:53] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:55] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:58] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:00] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:02] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:05] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:07] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:10] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:12] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:14] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:16] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:19] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:21] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:23] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:25] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:28] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:30] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:32] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:34] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:37] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:39] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:41] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:44] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:45] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:48] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:50] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:52] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:54] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:57] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:59] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:01] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:04] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:06] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:08] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:11] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:12] [+] Conectado ao Brok
[2025-10-19 21:26:24] [+]
[2025-10-19 21:26:32] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:34] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:36] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:39] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:41] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:43] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:46] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:48] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:49] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:52] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:54] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:56] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:59] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:01] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:03] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:06] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:08] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:10] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:12] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:15] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:16] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:19] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:21] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:23] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:26] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:28] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:30] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:33] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:35] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:36] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:39] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:41] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:43] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:46] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:48] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:50] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:53] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:55] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:57] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:59] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:02] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:03] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:06] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:09] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:11] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:13] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:16] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:18] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:20] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:22] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:25] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:27] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:29] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:31] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:34] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:36] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:39] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:40] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:43] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:45] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:47] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:49] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:52] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:54] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:56] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:28:59] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:01] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:03] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:05] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:07] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:10] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:12] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:14] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:16] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:19] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:21] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:23] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:26] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:27] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:30] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:32] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:34] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:36] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:39] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:41] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:43] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:46] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:48] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:50] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:53] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:54] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:57] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:29:59] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:30:02] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:30:04] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:30:07] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:30:09] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:30:11] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:30:13] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:30:15] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:30:18] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:30:20] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:30:22] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:30:25] [+] Conectado ao Broker MQTT com código de resultado: 0
